build_id,tier,axis,item,marker_hint,centre_x_cm,centre_y_cm,long_axis_bearing_deg,long_cm,short_cm,height_cm,n_bricks,robot_start_x_cm,robot_start_y_cm,robot_start_bearing_deg,goal_x_cm,goal_y_cm,solve_rate,tried,valid_1push,valid_first_push,n_contacts_reachable,n_contacts_cutoff,n_contacts_collision,angle_convention,tag_convention
med_000,med,1push,brick,wall_10,10.0,36.3,6.3,19.5,5.5,10.0,2,41.7,6.1,0.0,15.2,56.2,0.05,80,4,45,19,11,30,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_000,med,1push,brick,wall_11,34.8,44.6,107.2,19.5,5.5,10.0,2,41.7,6.1,0.0,15.2,56.2,0.05,80,4,45,19,11,30,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_000,med,1push,block,obj_1,25.3,35.9,90.5,15.0,7.0,4.0,2,41.7,6.1,0.0,15.2,56.2,0.05,80,4,45,19,11,30,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_001,med,1push,brick,wall_10,39.0,32.9,172.3,19.5,5.5,10.0,2,17.0,13.5,0.0,29.8,48.7,0.05,100,5,27,22,7,31,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_001,med,1push,brick,wall_11,13.2,41.5,71.7,19.5,5.5,10.0,2,17.0,13.5,0.0,29.8,48.7,0.05,100,5,27,22,7,31,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_001,med,1push,block,obj_4,21.7,31.3,64.7,12.0,7.5,5.0,2,17.0,13.5,0.0,29.8,48.7,0.05,100,5,27,22,7,31,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_002,med,1push,brick,wall_10,39.1,44.5,175.2,19.5,5.5,10.0,3,37.2,17.1,0.0,28.1,69.1,0.0556,18,1,4,5,15,40,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_002,med,1push,brick,wall_11,13.2,55.6,96.0,19.5,5.5,10.0,3,37.2,17.1,0.0,28.1,69.1,0.0556,18,1,4,5,15,40,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_002,med,1push,brick,wall_12,13.2,35.1,108.0,19.5,5.5,10.0,3,37.2,17.1,0.0,28.1,69.1,0.0556,18,1,4,5,15,40,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_002,med,1push,block,obj_1,21.4,45.5,78.1,15.0,7.0,4.0,3,37.2,17.1,0.0,28.1,69.1,0.0556,18,1,4,5,15,40,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_003,med,1push,brick,wall_10,38.9,34.0,170.3,19.5,5.5,10.0,3,42.7,11.8,0.0,9.2,65.5,0.0577,52,3,11,13,12,35,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_003,med,1push,brick,wall_11,13.0,45.1,93.7,19.5,5.5,10.0,3,42.7,11.8,0.0,9.2,65.5,0.0577,52,3,11,13,12,35,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_003,med,1push,brick,wall_12,13.0,21.3,103.7,19.5,5.5,10.0,3,42.7,11.8,0.0,9.2,65.5,0.0577,52,3,11,13,12,35,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_003,med,1push,block,obj_4,21.2,31.4,79.0,12.0,7.5,5.0,3,42.7,11.8,0.0,9.2,65.5,0.0577,52,3,11,13,12,35,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_004,med,1push,brick,wall_10,39.0,36.0,6.3,19.5,5.5,10.0,2,29.9,13.3,0.0,31.8,71.1,0.05,120,6,39,24,10,26,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_004,med,1push,brick,wall_11,13.3,42.6,73.1,19.5,5.5,10.0,2,29.9,13.3,0.0,31.8,71.1,0.05,120,6,39,24,10,26,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
med_004,med,1push,block,obj_1,21.1,31.3,86.8,15.0,7.0,4.0,2,29.9,13.3,0.0,31.8,71.1,0.05,120,6,39,24,10,26,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
