xml,object_id,tier_1push,tier_hmax2,sr_1push,sr_hmax2,opener,setup,dead,blocked,tried
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00001/env.xml,obstacle_0_movable,easy,easy,0.8133,1.0,122,28,0,0,150
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00004/env.xml,obstacle_0_movable,easy,easy,0.7852,0.9259,106,19,0,10,135
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00007/env.xml,obstacle_0_movable,easy,easy,0.736,0.856,92,15,0,18,125
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00009/env.xml,obstacle_0_movable,easy,easy,0.9724,0.9793,141,1,0,3,145
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00012/env.xml,obstacle_0_movable,easy,easy,0.8069,0.8345,117,4,0,24,145
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00014/env.xml,obstacle_0_movable,easy,easy,0.76,0.9867,57,17,0,1,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00025/env.xml,obstacle_0_movable,easy,easy,0.78,0.8733,117,14,0,19,150
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00026/env.xml,obstacle_0_movable,easy,easy,0.7913,0.9478,91,18,0,6,115
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00028/env.xml,obstacle_0_movable,easy,easy,0.7926,0.9481,107,21,0,7,135
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00030/env.xml,obstacle_0_movable,easy,easy,0.79,0.95,79,16,0,5,100
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00031/env.xml,obstacle_0_movable,easy,easy,0.8276,0.931,120,15,0,10,145
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00032/env.xml,obstacle_0_movable,easy,easy,0.8706,0.8824,74,1,0,10,85
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00034/env.xml,obstacle_0_movable,easy,easy,0.8207,0.9103,119,13,0,13,145
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00035/env.xml,obstacle_0_movable,easy,easy,0.6235,0.8824,53,22,0,10,85
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00038/env.xml,obstacle_0_movable,easy,easy,0.9417,0.975,113,4,0,3,120
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00045/env.xml,obstacle_0_movable,easy,easy,0.824,0.92,103,12,0,10,125
