build_id,tier,axis,item,marker_hint,centre_x_cm,centre_y_cm,long_axis_bearing_deg,long_cm,short_cm,height_cm,n_bricks,robot_start_x_cm,robot_start_y_cm,robot_start_bearing_deg,goal_x_cm,goal_y_cm,solve_rate,tried,valid_1push,valid_first_push,n_contacts_reachable,n_contacts_cutoff,n_contacts_collision,angle_convention,tag_convention
easy_000,easy,hmax2,brick,wall_10,10.1,40.6,8.8,19.5,5.5,10.0,1,33.9,16.3,0.0,30.5,60.4,0.4706,85,40,0,18,15,27,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_000,easy,hmax2,block,obj_1,33.4,39.8,172.7,15.0,7.0,4.0,1,33.9,16.3,0.0,30.5,60.4,0.4706,85,40,0,18,15,27,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_001,easy,hmax2,brick,wall_10,38.9,38.6,10.9,19.5,5.5,10.0,1,13.8,16.9,0.0,9.7,53.0,0.7547,106,80,0,25,24,11,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_001,easy,hmax2,block,obj_4,14.4,40.2,17.5,12.0,7.5,5.0,1,13.8,16.9,0.0,9.7,53.0,0.7547,106,80,0,25,24,11,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_002,easy,hmax2,brick,wall_10,9.9,37.3,4.8,19.5,5.5,10.0,2,14.9,17.2,0.0,35.9,66.9,0.3011,93,0,28,26,9,25,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_002,easy,hmax2,brick,wall_11,35.7,48.9,103.8,19.5,5.5,10.0,2,14.9,17.2,0.0,35.9,66.9,0.3011,93,0,28,26,9,25,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_002,easy,hmax2,block,obj_1,24.0,34.6,66.8,15.0,7.0,4.0,2,14.9,17.2,0.0,35.9,66.9,0.3011,93,0,28,26,9,25,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_003,easy,hmax2,brick,wall_10,38.9,30.6,170.6,19.5,5.5,10.0,2,11.2,14.1,0.0,37.1,60.2,0.3011,93,18,10,19,11,30,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_003,easy,hmax2,brick,wall_11,13.8,41.8,73.1,19.5,5.5,10.0,2,11.2,14.1,0.0,37.1,60.2,0.3011,93,18,10,19,11,30,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_003,easy,hmax2,block,obj_4,21.9,31.3,85.1,12.0,7.5,5.0,2,11.2,14.1,0.0,37.1,60.2,0.3011,93,18,10,19,11,30,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_004,easy,hmax2,brick,wall_10,10.0,30.2,5.3,19.5,5.5,10.0,3,16.7,13.8,0.0,13.6,50.3,0.3393,56,0,19,14,8,38,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_004,easy,hmax2,brick,wall_11,34.0,38.5,109.4,19.5,5.5,10.0,3,16.7,13.8,0.0,13.6,50.3,0.3393,56,0,19,14,8,38,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_004,easy,hmax2,brick,wall_12,34.0,17.8,82.4,19.5,5.5,10.0,3,16.7,13.8,0.0,13.6,50.3,0.3393,56,0,19,14,8,38,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_004,easy,hmax2,block,obj_1,25.2,25.6,97.5,15.0,7.0,4.0,3,16.7,13.8,0.0,13.6,50.3,0.3393,56,0,19,14,8,38,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_005,easy,hmax2,brick,wall_10,38.9,35.2,171.3,19.5,5.5,10.0,3,13.5,8.7,0.0,27.5,62.2,0.3333,6,0,2,3,20,37,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_005,easy,hmax2,brick,wall_11,13.3,47.2,88.6,19.5,5.5,10.0,3,13.5,8.7,0.0,27.5,62.2,0.3333,6,0,2,3,20,37,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_005,easy,hmax2,brick,wall_12,13.3,26.5,107.7,19.5,5.5,10.0,3,13.5,8.7,0.0,27.5,62.2,0.3333,6,0,2,3,20,37,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_005,easy,hmax2,block,obj_4,24.4,40.1,45.1,12.0,7.5,5.0,3,13.5,8.7,0.0,27.5,62.2,0.3333,6,0,2,3,20,37,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_006,easy,hmax2,brick,wall_10,39.0,40.2,172.3,19.5,5.5,10.0,1,36.8,26.5,0.0,6.4,66.4,0.5,110,55,0,22,15,23,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_006,easy,hmax2,block,obj_1,14.9,35.4,179.1,15.0,7.0,4.0,1,36.8,26.5,0.0,6.4,66.4,0.5,110,55,0,22,15,23,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_007,easy,hmax2,brick,wall_10,10.0,43.8,172.4,19.5,5.5,10.0,1,42.4,16.4,0.0,22.5,58.7,0.7863,117,92,0,26,27,7,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_007,easy,hmax2,block,obj_4,34.7,44.0,155.6,12.0,7.5,5.0,1,42.4,16.4,0.0,22.5,58.7,0.7863,117,92,0,26,27,7,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_008,easy,hmax2,brick,wall_10,38.9,43.1,170.4,19.5,5.5,10.0,2,11.7,15.1,0.0,10.6,70.1,0.3014,73,0,22,20,4,36,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_008,easy,hmax2,brick,wall_11,13.4,51.7,74.9,19.5,5.5,10.0,2,11.7,15.1,0.0,10.6,70.1,0.3014,73,0,22,20,4,36,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_008,easy,hmax2,block,obj_1,23.5,44.5,111.5,15.0,7.0,4.0,2,11.7,15.1,0.0,10.6,70.1,0.3014,73,0,22,20,4,36,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_009,easy,hmax2,brick,wall_10,14.0,38.7,157.2,19.5,5.5,10.0,2,33.9,8.7,0.0,18.7,69.7,0.3028,109,19,14,25,11,24,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
easy_009,easy,hmax2,brick,wall_11,21.0,52.0,9.9,19.5,5.5,10.0,2,33.9,8.7,0.0,18.7,69.7,0.3028,109,19,14,25,11,24,"long_axis_bearing_deg = bearing of the item's LONG side in world, counter-clockwise from +X, in [0,180). Place by this, not by yaw. yaw_deg is the MuJoCo local-frame rotation and its meaning differs between bricks (long side on local X) and blocks (long side on local Y).","every bar uses the wall_10/wall_11 ArUco mounting; wall_9 is excluded (tag rotated 90 deg, 19.0 cm not 19.5)"
