xml,tier_old,tier_new,sr_hmax2_old,sr_hmax2_new,opener,setup,dead,blocked
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00001/env.xml,easy,easy,0.8133,1.0,122,28,0,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00007/env.xml,easy,easy,0.7863,0.9145,92,15,0,18
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00065/env.xml,easy,easy,0.56,1.0,42,33,0,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00081/env.xml,easy,easy,0.6174,1.0,71,44,0,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00106/env.xml,easy,easy,0.6267,1.0,47,28,0,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00123/env.xml,easy,easy,0.8933,1.0,38,37,0,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00138/env.xml,easy,easy,0.596,0.9596,59,36,0,20
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00142/env.xml,easy,easy,0.7692,0.9487,50,24,0,16
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00154/env.xml,easy,easy,0.4706,1.0,40,45,0,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00159/env.xml,easy,easy,0.6339,0.8929,71,29,0,40
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00162/env.xml,easy,easy,0.6429,0.9524,81,39,0,30
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00184/env.xml,easy,easy,0.6504,0.9756,80,40,0,15
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00190/env.xml,easy,easy,0.8077,0.9231,105,15,0,30
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00197/env.xml,easy,easy,0.5,1.0,55,55,0,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00199/env.xml,easy,easy,0.6095,0.9333,64,34,0,27
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00005/env.xml,easy,easy,0.9062,0.9062,20,38,0,17
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00006/env.xml,hard,easy,0.02,0.4133,2,60,86,2
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00009/env.xml,easy,easy,0.3981,0.7778,6,78,19,12
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00014/env.xml,easy,easy,0.3301,0.932,6,90,0,19
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00016/env.xml,easy,easy,0.8125,0.8542,15,26,0,34
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00017/env.xml,med,med,0.0693,0.0693,0,7,77,61
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00019/env.xml,med,med,0.0556,0.0635,0,8,111,26
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00025/env.xml,easy,easy,0.7794,0.9559,21,44,0,10
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00030/env.xml,easy,easy,0.9524,0.9524,8,12,0,5
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00044/env.xml,easy,easy,0.3281,0.875,21,35,0,19
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00048/env.xml,easy,easy,0.6,0.6,3,3,0,14
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00052/env.xml,easy,easy,0.3654,0.3654,0,19,30,6
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00059/env.xml,easy,easy,0.85,0.8833,18,35,0,22
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00060/env.xml,med,med,0.2667,0.2667,0,4,11,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00064/env.xml,easy,easy,0.3163,0.3061,0,30,61,29
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00065/env.xml,hard,easy,0.0355,0.3404,5,43,89,8
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00066/env.xml,med,med,0.0795,0.0795,0,7,72,26
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00068/env.xml,med,easy,0.2692,0.3846,3,17,30,10
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00070/env.xml,easy,easy,0.4043,0.734,5,64,15,26
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00094/env.xml,easy,easy,0.35,0.65,1,12,1,21
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00096/env.xml,med,med,0.0692,0.0692,0,9,114,27
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00102/env.xml,easy,easy,0.8438,0.9219,20,39,0,16
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00110/env.xml,hard,easy,0.0077,0.6615,1,85,40,9
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00111/env.xml,easy,easy,0.7903,0.9194,4,53,0,18
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00114/env.xml,med,med,0.2468,0.2468,0,19,52,14
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00126/env.xml,med,med,0.2576,0.2576,0,17,48,5
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00127/env.xml,easy,easy,1.0,1.0,16,24,0,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00133/env.xml,easy,easy,0.36,1.0,15,35,0,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00135/env.xml,easy,easy,0.3028,0.3028,0,33,71,11
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00138/env.xml,med,med,0.0708,0.0796,0,9,92,49
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00153/env.xml,easy,easy,0.3571,0.3571,0,15,25,10
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00155/env.xml,easy,easy,0.8182,0.8182,14,22,0,39
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00157/env.xml,easy,easy,0.7857,0.9286,10,55,0,20
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00172/env.xml,easy,easy,0.5634,0.8169,4,54,4,28
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00174/env.xml,easy,easy,0.5,0.9583,24,22,0,9
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00177/env.xml,easy,easy,0.5,0.5312,0,34,24,17
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00184/env.xml,med,easy,0.0795,0.8523,2,73,2,38
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00186/env.xml,easy,easy,0.7556,0.9778,13,31,1,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00191/env.xml,easy,easy,0.6667,0.9425,5,77,0,8
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00194/env.xml,easy,easy,0.8333,0.8333,2,3,0,5
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00196/env.xml,med,easy,0.1901,0.876,4,102,9,15
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00197/env.xml,easy,easy,0.7231,0.9231,8,52,0,15
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00200/env.xml,easy,easy,0.6222,1.0,15,30,0,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00207/env.xml,med,med,0.0508,0.0508,0,6,107,17
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00218/env.xml,easy,easy,0.8254,0.9365,20,39,0,16
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00224/env.xml,easy,easy,0.4545,0.4545,0,5,0,25
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00236/env.xml,easy,easy,0.3669,0.8345,9,107,20,4
