build_id,axis,tier,push_kind,marker_reachable,solve_rate,xml
easy_000,1push,easy,one_push,1,0.4706,/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00154/env.xml
easy_001,1push,easy,one_push,1,0.7547,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_404/rb_00078/env.xml
easy_002,1push,easy,one_push,1,0.3,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00009/env.xml
easy_003,1push,easy,one_push,1,0.3,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00048/env.xml
easy_004,1push,easy,one_push,1,0.3,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00274/env.xml
easy_005,1push,easy,one_push,1,0.3182,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00155/env.xml
easy_006,1push,easy,one_push,1,0.5,/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00197/env.xml
easy_007,1push,easy,one_push,1,0.7863,/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00007/env.xml
easy_008,1push,easy,one_push,0,0.3,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_203/rb_00073/env.xml
easy_009,1push,easy,one_push,0,0.3,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00048/env.xml
easy_010,1push,easy,one_push,1,0.3,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_207/rb_00039/env.xml
easy_011,1push,easy,one_push,1,0.32,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_206/rb_00058/env.xml
easy_012,1push,easy,one_push,1,0.5067,/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00123/env.xml
easy_013,1push,easy,one_push,1,0.7867,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_406/rb_00001/env.xml
easy_014,1push,easy,one_push,1,0.3,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00059/env.xml
easy_015,1push,easy,one_push,1,0.3,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00046/env.xml
easy_016,1push,easy,one_push,1,0.3,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00133/env.xml
easy_017,1push,easy,one_push,1,0.3529,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_205/rb_00016/env.xml
easy_018,1push,easy,one_push,1,0.5243,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_403/rb_00001/env.xml
easy_019,1push,easy,one_push,1,0.7874,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_402/rb_00024/env.xml
easy_020,1push,easy,one_push,1,0.3016,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00392/env.xml
easy_021,1push,easy,one_push,1,0.3,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_302/rb_00007/env.xml
easy_022,1push,easy,one_push,1,0.3333,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00194/env.xml
easy_023,1push,easy,one_push,1,0.36,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_207/rb_00060/env.xml
easy_024,1push,easy,one_push,1,0.56,/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00065/env.xml
easy_025,1push,easy,one_push,1,0.791,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_402/rb_00042/env.xml
easy_026,1push,easy,one_push,1,0.3016,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00065/env.xml
easy_027,1push,easy,one_push,0,0.3,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_208/rb_00022/env.xml
easy_028,1push,easy,one_push,1,0.3333,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00200/env.xml
easy_029,1push,easy,one_push,1,0.3636,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00010/env.xml
easy_030,1push,easy,one_push,1,0.5856,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00026/env.xml
