axis,build_id,tier,best_corridor_cm,worst_corridor_cm,dead_if_threshold_over,worst_route_below_8,marker_verdict,solve_rate,xml
1push,hard_020,hard,8.36,8.36,8.4,no,fail,0.0118,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_205/rb_00073/env.xml
1push,hard_099,hard,8.36,8.36,8.4,no,strict,0.025,/common/users/dm1487/scratch_namo/real_buildable/pool4b/j_601/rb_00010/env.xml
hmax2,hard_018,hard,8.36,8.36,8.4,no,fail,0.0083,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00441/env.xml
hmax2,hard_019,hard,8.36,8.36,8.4,no,fail,0.0083,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00010/env.xml
hmax2,hard_054,hard,8.36,8.36,8.4,no,strict,0.0231,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_517/rb_00003/env.xml
1push,hard_025,hard,8.42,8.42,9.0,no,strict,0.0074,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00008/env.xml
hmax2,hard_010,hard,8.76,8.76,9.0,no,strict,0.0077,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00316/env.xml
hmax2,hard_023,hard,8.76,8.76,9.0,no,fail,0.0087,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00325/env.xml
1push,hard_030,hard,8.82,8.82,9.0,no,strict,0.0143,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00029/env.xml
hmax2,hard_062,hard,8.82,8.59,9.0,no,strict,0.025,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_517/rb_00008/env.xml
1push,hard_075,hard,8.93,8.82,9.0,no,strict,0.0211,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_202/rb_00005/env.xml
hmax2,hard_064,hard,8.93,8.76,9.0,no,strict,0.025,/common/users/dm1487/scratch_namo/real_buildable/pool4b/j_604/rb_00009/env.xml
1push,hard_000,hard,8.99,8.99,9.0,no,strict,0.0063,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_303/rb_00006/env.xml
1push,hard_016,hard,8.99,8.99,9.0,no,fail,0.0118,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00334/env.xml
hmax2,hard_015,hard,8.99,8.36,9.0,no,fail,0.0267,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_208/rb_00063/env.xml
1push,hard_015,hard,9.10,9.10,9.9,no,strict,0.0069,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00162/env.xml
1push,hard_017,hard,9.10,9.10,9.9,no,strict,0.0069,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_207/rb_00055/env.xml
1push,hard_027,hard,9.10,9.10,9.9,no,strict,0.0074,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_206/rb_00071/env.xml
1push,hard_033,hard,9.10,9.10,9.9,no,strict,0.008,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00282/env.xml
hmax2,hard_005,hard,9.10,9.10,9.9,no,strict,0.0067,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_502/rb_00007/env.xml
hmax2,med_020,med,9.10,8.70,9.9,no,strict,0.0538,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_517/rb_00002/env.xml
1push,hard_021,hard,9.16,9.16,9.9,no,strict,0.0071,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_304/rb_00042/env.xml
1push,hard_031,hard,9.16,9.16,9.9,no,strict,0.0077,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_516/rb_00006/env.xml
hmax2,med_007,med,9.16,8.76,9.9,no,strict,0.0571,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_207/rb_00064/env.xml
1push,hard_041,hard,9.21,8.82,9.9,no,strict,0.0121,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00460/env.xml
1push,hard_089,hard,9.27,9.10,9.9,no,strict,0.024,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_203/rb_00038/env.xml
hmax2,hard_009,hard,9.33,9.33,9.9,no,strict,0.02,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00265/env.xml
1push,hard_006,hard,9.50,9.33,9.9,no,retarget,0.0267,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_205/rb_00062/env.xml
hmax2,med_037,med,9.50,8.42,9.9,no,strict,0.2667,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00060/env.xml
1push,hard_035,hard,9.55,9.55,9.9,no,strict,0.008,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_410/rb_00043/env.xml
1push,hard_084,hard,9.55,9.55,9.9,no,strict,0.0333,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00147/env.xml
hmax2,hard_000,hard,9.55,9.55,9.9,no,strict,0.0067,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00164/env.xml
1push,hard_013,hard,9.61,9.61,9.9,no,strict,0.0069,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00114/env.xml
1push,hard_046,hard,9.61,8.99,9.9,no,strict,0.02,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00128/env.xml
