axis,matrix_build_id,tier,replacement_1,replacement_2,r1_best_cm,r1_worst_cm,r2_best_cm,r2_worst_cm,matrix_best_cm,matrix_worst_cm
1push,hard_037,hard,hard_076,hard_092,30.0,30.0,30.0,11.03,30.0,30.0
1push,hard_001,hard,hard_018,hard_038,30.0,30.0,30.0,30.0,30.0,30.0
1push,hard_012,hard,hard_067,hard_044,30.0,30.0,30.0,30.0,30.0,30.0
1push,hard_005,hard,hard_039,hard_068,30.0,30.0,30.0,30.0,30.0,30.0
1push,hard_009,hard,hard_048,hard_040,30.0,30.0,30.0,30.0,30.0,30.0
hmax2,hard_007,hard,hard_021,hard_056,30.0,30.0,30.0,30.0,30.0,30.0
hmax2,hard_013,hard,hard_016,hard_038,30.0,30.0,30.0,11.59,30.0,30.0
hmax2,hard_008,hard,hard_029,hard_082,30.0,30.0,30.0,30.0,30.0,30.0
1push,med_085,med,med_005,med_031,30.0,11.59,30.0,30.0,30.0,14.65
1push,med_077,med,med_020,med_016,30.0,30.0,30.0,12.16,13.74,11.2
1push,med_093,med,med_028,med_007,30.0,12.61,30.0,30.0,30.0,30.0
hmax2,med_069,med,med_092,med_040,30.0,11.65,30.0,30.0,30.0,30.0
1push,easy_002,easy,easy_054,easy_017,30.0,11.59,30.0,12.38,30.0,9.95
1push,easy_001,easy,easy_098,easy_007,30.0,11.59,30.0,11.2,30.0,11.2
