xml,edge,depth,score,offset_cm,offset_frac,face,travel_cm,dyaw_deg,rank,n_cand
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,0,2,0.7286226153373718,3.5,1.0,long,12.41,6.32,0,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,2,2,0.7286178469657898,3.0,0.8571,long,12.67,1.83,1,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,39,3,0.7285098433494568,3.21,0.4286,short,13.61,16.29,2,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,41,3,0.7285045385360718,2.14,0.2857,short,13.83,16.51,3,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,43,3,0.7284777760505676,1.07,0.1429,short,14.34,15.78,4,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,2,1,0.7284374237060547,3.0,0.8571,long,8.22,2.69,5,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,0,1,0.7282766103744507,3.5,1.0,long,7.95,4.2,6,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,4,2,0.7282214164733887,2.5,0.7143,long,13.17,0.47,7,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,4,1,0.7280945777893066,2.5,0.7143,long,8.41,1.75,8,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,10,3,0.7280923128128052,1.0,0.2857,long,19.21,-0.36,9,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,37,3,0.7280056476593018,4.29,0.5714,short,13.45,23.76,10,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,2,3,0.7280055284500122,3.0,0.8571,long,17.06,1.29,11,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,39,2,0.7279849648475647,3.21,0.4286,short,12.04,5.4,12,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,6,2,0.7279072403907776,2.0,0.5714,long,13.71,0.55,13,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,41,4,0.7278921008110046,2.14,0.2857,short,15.1,25.3,14,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,43,2,0.727863609790802,1.07,0.1429,short,12.7,5.39,15,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,49,3,0.7278425693511963,2.14,0.2857,short,14.21,3.3,16,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,47,3,0.7278050184249878,1.07,0.1429,short,14.33,5.73,17,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,41,2,0.72780442237854,2.14,0.2857,short,12.24,5.79,18,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,51,2,0.727794349193573,3.21,0.4286,short,12.5,-2.83,19,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,10,2,0.7277935147285461,1.0,0.2857,long,14.12,0.36,20,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,39,1,0.7277751564979553,3.21,0.4286,short,8.34,2.75,21,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,6,3,0.7277747392654419,2.0,0.5714,long,18.5,0.06,22,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,39,4,0.7277598977088928,3.21,0.4286,short,14.82,24.76,23,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,6,1,0.7277532815933228,2.0,0.5714,long,8.88,1.56,24,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,8,3,0.7277443408966064,1.5,0.4286,long,19.21,-0.36,25,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,51,3,0.7277218103408813,3.21,0.4286,short,14.11,0.7,26,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,43,4,0.7277214527130127,1.07,0.1429,short,15.54,23.53,27,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,45,3,0.7277020812034607,0.0,0.0,short,14.48,10.9,28,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,4,3,0.7276921272277832,2.5,0.7143,long,17.83,0.27,29,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,8,2,0.7276771068572998,1.5,0.4286,long,14.12,0.36,30,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,12,3,0.7276637554168701,0.5,0.1429,long,19.68,-0.16,31,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,12,2,0.7276596426963806,0.5,0.1429,long,14.46,0.09,32,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,47,4,0.7276511788368225,1.07,0.1429,short,15.44,10.81,33,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,41,1,0.7276449799537659,2.14,0.2857,short,8.59,2.18,34,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,10,1,0.7276182770729065,1.0,0.2857,long,9.12,0.83,35,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,43,1,0.7275243997573853,1.07,0.1429,short,9.1,0.9,36,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,12,1,0.727449893951416,0.5,0.1429,long,9.24,0.35,37,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,0,3,0.7273865342140198,3.5,1.0,long,16.73,9.32,38,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,8,1,0.7273809313774109,1.5,0.4286,long,9.12,0.83,39,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,45,4,0.7273558378219604,0.0,0.0,short,15.73,17.98,40,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,49,2,0.7273496389389038,2.14,0.2857,short,12.83,-1.64,41,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,10,4,0.7272549271583557,1.0,0.2857,long,24.32,-0.17,42,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,37,2,0.7272273302078247,4.29,0.5714,short,12.24,14.76,43,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,47,2,0.7270054817199707,1.07,0.1429,short,13.04,-0.15,44,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,49,4,0.7269085049629211,2.14,0.2857,short,15.25,6.87,45,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,51,1,0.7268161177635193,3.21,0.4286,short,8.26,-3.36,46,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,45,2,0.7267493605613708,0.0,0.0,short,13.01,2.66,47,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,37,4,0.7265964150428772,4.29,0.5714,short,14.4,30.88,48,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,37,1,0.7265516519546509,4.29,0.5714,short,8.17,6.88,49,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,47,1,0.7264236807823181,1.07,0.1429,short,8.81,-1.9,50,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,45,1,0.7264182567596436,0.0,0.0,short,9.07,-0.53,51,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,53,2,0.726296603679657,4.29,0.5714,short,11.55,-28.39,52,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,8,4,0.7261097431182861,1.5,0.4286,long,24.32,-0.17,53,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,49,1,0.7260671854019165,2.14,0.2857,short,8.49,-2.43,54,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,12,4,0.7260481715202332,0.5,0.1429,long,24.93,-0.07,55,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,6,4,0.7255780696868896,2.0,0.5714,long,23.32,-0.11,56,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,14,3,0.7252715229988098,0.0,0.0,long,19.84,0.01,57,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,14,2,0.72478848695755,0.0,0.0,long,14.53,-0.04,58,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,4,4,0.7246997356414795,2.5,0.7143,long,22.53,0.16,59,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,14,1,0.7245702743530273,0.0,0.0,long,9.23,-0.02,60,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,53,1,0.7239037156105042,4.29,0.5714,short,7.62,-15.04,61,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,2,4,0.7237014174461365,3.0,0.8571,long,21.48,0.75,62,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,51,4,0.7230812907218933,3.21,0.4286,short,15.08,2.38,63,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,14,4,0.7230784893035889,0.0,0.0,long,25.14,0.0,64,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,53,3,0.718742847442627,4.29,0.5714,short,14.95,-43.85,65,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,55,2,0.7161993384361267,5.36,0.7143,short,10.56,-38.77,66,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,0,4,0.7154633402824402,3.5,1.0,long,21.06,13.15,67,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,55,1,0.7098478674888611,5.36,0.7143,short,7.06,-22.49,68,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,12,0,0.6993907690048218,0.5,0.1429,long,4.0,0.33,69,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,16,3,0.6993216276168823,0.5,0.1429,long,19.95,0.06,70,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,10,0,0.6988186836242676,1.0,0.2857,long,4.04,0.8,71,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,16,2,0.6986581087112427,0.5,0.1429,long,14.68,-0.03,72,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,8,0,0.6982291340827942,1.5,0.4286,long,4.04,0.8,73,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,16,1,0.697597086429596,0.5,0.1429,long,9.44,-0.26,74,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,14,0,0.6962656378746033,0.0,0.0,long,3.94,-0.02,75,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,16,4,0.6936718821525574,0.5,0.1429,long,25.19,-0.02,76,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,6,0,0.6927367448806763,2.0,0.5714,long,4.03,1.31,77,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,4,0,0.6926140785217285,2.5,0.7143,long,3.64,1.87,78,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,2,0,0.6900948882102966,3.0,0.8571,long,3.67,2.24,79,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,0,0,0.6873374581336975,3.5,1.0,long,3.6,2.98,80,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,57,1,0.6873313784599304,6.43,0.8571,short,6.27,-27.29,81,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,16,0,0.68696129322052,0.5,0.1429,long,4.19,-0.3,82,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,53,4,0.6861746907234192,4.29,0.5714,short,0.0,0.0,83,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,57,2,0.6857537627220154,6.43,0.8571,short,9.23,-42.88,84,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,39,0,0.6809248924255371,3.21,0.4286,short,3.88,2.27,85,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,59,2,0.6807239055633545,7.5,1.0,short,8.14,-43.15,86,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,37,0,0.6798490881919861,4.29,0.5714,short,3.78,3.76,87,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,41,0,0.6792596578598022,2.14,0.2857,short,3.99,1.57,88,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,43,0,0.6791498064994812,1.07,0.1429,short,4.19,0.9,89,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,47,0,0.6750321984291077,1.07,0.1429,short,4.15,-1.29,90,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,59,1,0.6747219562530518,7.5,1.0,short,5.57,-28.5,91,135
/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_408/rb_00054/env.xml,45,0,0.6741076707839966,0.0,0.0,short,4.12,-0.54,92,135
